arch,seed,val_acc,test_acc
small1,42,0.2153,0.1838
small1,123,0.9336,0.9270
small1,0,0.9256,0.9217
small1,1,0.9183,0.9098
small1,2,0.2153,0.1845
small2,42,0.9515,0.9469
small2,123,0.9449,0.9463
small2,0,0.2153,0.1838
small2,1,0.9389,0.9370
small2,2,0.9342,0.9277
current,42,0.9468,0.9449
current,123,0.9561,0.9423
current,0,0.9369,0.9224
current,1,0.9030,0.9058
current,2,0.9037,0.9078
large1,42,0.9535,0.9356
large1,123,0.9415,0.9297
large1,0,0.9329,0.9343
large1,1,0.9468,0.9456
large1,2,0.9468,0.9403
large2,42,0.9429,0.9403
large2,123,0.9488,0.9383
large2,0,0.9482,0.9476
large2,1,0.9355,0.9390
large2,2,0.9468,0.9390
