model,class,precision,recall,f1,support
float,A,0.9274,0.7372,0.8214,312
float,B,0.9041,0.8684,0.8859,304
float,C,0.7486,0.9783,0.8482,277
float,D,0.9415,0.9684,0.9548,316
float,E,0.9964,0.9362,0.9654,298
int16,A,0.9274,0.7372,0.8214,312
int16,B,0.9041,0.8684,0.8859,304
int16,C,0.7486,0.9783,0.8482,277
int16,D,0.9415,0.9684,0.9548,316
int16,E,0.9964,0.9362,0.9654,298
int8,A,0.9231,0.6923,0.7912,312
int8,B,0.9107,0.8717,0.8908,304
int8,C,0.7139,0.9639,0.8203,277
int8,D,0.9331,0.9715,0.9519,316
int8,E,0.9964,0.9329,0.9636,298
