sample_idx,ground_truth,gt_label,h1_0,h1_1,h1_2,h1_3,h1_4,h1_5,h1_6,h1_7,h1_8,h1_9,h1_10,h1_11,h1_12,h1_13,h1_14,h1_15,h1_16,h1_17,h1_18,h1_19,h1_20,h1_21,h1_22,h1_23,h1_24,h1_25,h1_26,h1_27,h1_28,h1_29,h1_30,h1_31,h2_0,h2_1,h2_2,h2_3,h2_4,h2_5,h2_6,h2_7,h2_8,h2_9,h2_10,h2_11,h2_12,h2_13,h2_14,h2_15
0,0,A,0.000000,0.000000,244.710602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.875725,48.320602,0.000000,0.000000,0.000000,26.448900,0.000000,0.000000,2.647506,0.000000,0.000000,0.000000,113.569756,0.000000,147.246750,0.000000,73.294220,0.000000,191.229355,0.000000,0.000000,102.497101,0.000000,0.000000,23.734343,0.000000,0.000000,0.000000,25.538294,0.000000,0.000000,0.000000,0.000000,0.000000,26.524418,0.000000,0.000000,0.000000,0.000000
1,0,A,0.000000,0.000000,208.504852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,129.240005,56.889606,0.000000,0.000000,0.000000,82.285820,0.000000,0.000000,48.778873,0.000000,0.000000,0.000000,78.700798,0.000000,118.410461,0.000000,33.459492,0.000000,121.208015,0.000000,0.000000,65.692909,0.000000,0.000000,13.131748,0.000000,0.000000,0.000000,15.692753,0.000000,0.000000,0.000000,0.000000,0.000000,37.508808,0.000000,0.000000,0.000000,0.000000
2,0,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,94.870399,255.556366,0.000000,0.000000,0.000000,206.686493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,299.070160,0.000000,39.364914,31.386131,0.000000,10.552964,0.000000,30.190939,69.424797,0.000000,37.780754,0.000000,3.617830,0.000000,0.000000,0.000000,0.000000,0.000000,79.831841,80.584175,0.000000,0.000000,56.083591
3,3,D,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.902931,0.000000,137.346237,0.000000,186.173294,0.000000,319.017700,39.636986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.944403,0.000000,37.861832,0.000000,0.000000,0.000000,0.000000,62.590603,0.000000,0.000000,0.000000,0.000000,0.000000
4,2,C,0.000000,0.000000,241.725266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,342.105286,0.000000,0.000000,0.000000,0.000000,81.359642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.336533,0.000000,131.848495,0.000000,106.943802,0.000000,127.616791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.274229,0.000000,0.000000,0.000000,0.000000,46.674828,0.000000,0.000000,0.000000,0.000000
5,0,A,0.000000,0.000000,204.945541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.318796,31.259523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69.158592,0.000000,0.000000,0.000000,127.651703,0.000000,151.419556,0.000000,106.201614,0.000000,216.292343,0.000000,0.000000,84.767578,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.065441,0.000000,0.000000,0.000000,0.000000,0.000000,1.121581,0.000000,0.000000,0.000000,0.000000
6,0,A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,104.166237,373.390900,0.000000,0.000000,0.000000,311.836975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.500195,0.000000,0.000000,0.000000,232.178497,0.000000,0.000000,0.000000,0.000000,3.416087,0.000000,83.834396,116.745224,0.000000,30.396141,0.000000,32.263866,0.000000,0.000000,0.000000,0.000000,0.000000,125.566444,85.523933,0.000000,0.000000,108.007843
7,1,B,0.000000,0.000000,270.937897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.631668,26.741684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,175.074326,0.000000,273.453094,0.000000,0.000000,0.000000,277.671631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,79.078560,8.210366,0.000000,0.000000,0.000000,0.000000,25.643970,0.000000,0.000000,0.000000,0.000000
8,3,D,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,86.110191,0.000000,105.580292,0.000000,271.575775,0.000000,323.111237,232.306763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.223072,0.000000,0.000000,0.000000,0.000000,87.318077,0.000000,0.000000,0.000000,0.000000,0.000000
9,3,D,0.000000,0.000000,167.550812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60.982594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,232.572525,0.000000,0.000000,0.000000,80.987091,0.000000,119.216225,0.000000,116.867836,0.000000,185.199142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.364468,0.000000,0.000000,0.000000,0.000000,60.595280,0.000000,0.000000,0.000000,0.000000,0.000000
