infer_us,l0_us,l1_us,l2_us,sm_us,confidence
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10660,7216,2896,540,980,98.6
10652,7204,2900,536,984,98.6
10652,7208,2896,540,980,98.6
10660,7212,2900,536,984,98.6
10660,7208,2904,536,984,98.6
10656,7208,2900,536,984,98.6
10656,7208,2904,532,984,98.6
10656,7208,2904,532,984,98.6
10652,7208,2896,536,984,98.6
10652,7208,2896,536,984,98.6
10656,7208,2900,536,984,98.6
10660,7208,2904,536,984,98.6
10660,7212,2900,540,980,98.6
10652,7208,2904,528,984,98.6
10660,7208,2904,536,976,98.6
10660,7204,2908,536,984,98.6
10652,7204,2908,528,984,98.6
10660,7208,2904,536,984,98.6
10660,7204,2908,540,984,98.6
10656,7208,2904,532,984,98.6
10656,7208,2904,532,984,98.6
10656,7208,2904,532,984,98.6
10652,7204,2908,528,984,98.6
10660,7208,2904,536,984,98.6
10652,7204,2908,532,984,98.6
10652,7204,2908,528,984,98.6
10652,7208,2904,528,984,98.6
10656,7208,2904,532,984,98.6
10660,7208,2904,536,980,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10652,7204,2900,536,984,98.6
10660,7204,2908,536,984,98.6
10652,7204,2908,528,984,98.6
10660,7204,2908,540,980,98.6
10656,7208,2908,532,984,98.6
10660,7204,2908,540,984,98.6
10652,7208,2904,532,980,98.6
10652,7204,2904,528,984,98.6
10652,7204,2908,528,984,98.6
10652,7204,2908,528,984,98.6
10660,7204,2904,540,980,98.6
10652,7204,2900,536,984,98.6
10656,7208,2900,540,984,98.6
10652,7204,2908,528,984,98.6
10660,7208,2904,540,980,98.6
10660,7208,2904,536,984,98.6
10656,7208,2904,532,980,98.6
10656,7208,2904,532,984,98.6
10652,7204,2904,532,984,98.6
10656,7208,2904,532,980,98.6
10660,7204,2908,536,984,98.6
10660,7208,2904,536,976,98.6
10656,7208,2900,540,980,98.6
10656,7208,2904,532,984,98.6
10652,7204,2908,528,984,98.6
10656,7208,2900,536,984,98.6
10660,7204,2908,540,976,98.6
10660,7208,2904,536,984,98.6
10652,7208,2896,536,984,98.6
10656,7208,2904,532,980,98.6
10652,7208,2904,532,980,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10660,7204,2908,536,984,98.6
10660,7212,2900,536,984,98.6
10652,7208,2904,532,980,98.6
10656,7208,2904,532,984,98.6
10656,7208,2904,532,984,98.6
10652,7204,2904,532,984,98.6
10656,7208,2900,540,984,98.6
10656,7208,2904,532,984,98.6
10656,7208,2900,536,984,98.6
10652,7204,2908,528,984,98.6
10656,7208,2904,532,984,98.6
10660,7208,2904,536,984,98.6
10652,7208,2904,532,980,98.6
10660,7204,2908,536,984,98.6
10660,7208,2904,536,984,98.6
10656,7208,2904,532,984,98.6
10652,7204,2908,532,984,98.6
10660,7208,2904,536,984,98.6
10660,7204,2908,540,980,98.6
10656,7208,2904,532,980,98.6
10656,7208,2904,532,984,98.6
10656,7208,2904,532,984,98.6
10656,7208,2904,532,984,98.6
10660,7208,2904,536,984,98.6
10660,7204,2908,536,984,98.6
10652,7208,2896,540,980,98.6
10656,7208,2904,532,980,98.6
10660,7204,2904,536,984,98.6
10660,7204,2908,536,984,98.6
10660,7208,2904,536,984,98.6
10656,7208,2900,540,980,98.6
10656,7208,2904,532,984,98.6
10660,7204,2908,540,980,98.6
10660,7212,2900,536,984,98.6
10652,7204,2904,528,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10660,7212,2900,536,984,98.6
10660,7208,2904,536,984,98.6
10660,7212,2900,536,984,98.6
10660,7212,2900,536,984,98.6
10660,7204,2904,540,980,98.6
10656,7208,2904,532,984,98.6
10652,7208,2904,532,980,98.6
10656,7208,2904,532,984,98.6
10652,7204,2908,528,984,98.6
10652,7204,2900,536,984,98.6
10660,7208,2904,536,984,98.6
10652,7204,2908,528,984,98.6
10652,7204,2908,528,984,98.6
10656,7208,2904,532,984,98.6
10652,7204,2908,528,984,98.6
10656,7208,2900,536,984,98.6
10660,7208,2904,536,984,98.6
10652,7204,2908,528,984,98.6
10652,7204,2900,536,984,98.6
10660,7208,2904,536,984,98.6
10652,7204,2908,528,984,98.6
10652,7204,2904,532,984,98.6
10652,7208,2904,532,980,98.6
10652,7204,2908,532,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10656,7208,2904,532,984,98.6
10652,7204,2904,528,984,98.6
10656,7208,2904,532,980,98.6
10656,7208,2904,532,980,98.6
10652,7204,2908,532,984,98.6
10660,7212,2900,536,984,98.6
10660,7208,2904,536,984,98.6
10652,7208,2904,532,980,98.6
10656,7208,2904,532,984,98.6
10652,7208,2904,528,984,98.6
10652,7208,2904,532,980,98.6
10660,7204,2904,536,984,98.6
10656,7208,2904,532,980,98.6
10656,7208,2904,532,984,98.6
10656,7208,2904,532,984,98.6
10652,7204,2908,532,984,98.6
10652,7204,2908,528,984,98.6
10656,7208,2900,536,984,98.6
10660,7208,2904,536,984,98.6
10656,7208,2904,532,984,98.6
10656,7208,2904,532,980,98.6
10660,7212,2900,540,984,98.6
10656,7208,2904,532,980,98.6
10660,7208,2904,536,984,98.6
10660,7204,2904,536,984,98.6
10652,7204,2904,532,984,98.6
10652,7204,2900,536,984,98.6
10656,7208,2904,532,984,98.6
10660,7212,2900,540,980,98.6
10660,7208,2904,540,980,98.6
10660,7208,2904,536,984,98.6
10656,7208,2904,532,984,98.6
10652,7204,2908,528,984,98.6
10656,7208,2900,540,984,98.6
10660,7216,2896,536,984,98.6
10660,7204,2908,540,984,98.6
10660,7204,2904,540,980,98.6
10656,7208,2904,532,984,98.6
10652,7204,2908,532,984,98.6
10652,7208,2896,540,980,98.6
10660,7208,2904,540,980,98.6
10652,7204,2908,528,984,98.6
10660,7208,2904,536,984,98.6
10656,7208,2904,532,984,98.6
10656,7208,2904,532,980,98.6
10652,7204,2908,532,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10652,7208,2904,528,984,98.6
10656,7208,2904,532,984,98.6
10652,7208,2904,528,984,98.6
10652,7204,2900,536,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,980,98.6
10652,7208,2904,532,980,98.6
10652,7204,2900,536,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10660,7204,2908,536,984,98.6
10656,7208,2904,532,980,98.6
10656,7208,2904,532,984,98.6
10656,7208,2904,532,984,98.6
10660,7208,2904,536,984,98.6
10660,7204,2908,536,984,98.6
10652,7204,2908,528,984,98.6
10652,7204,2908,528,984,98.6
10652,7204,2908,528,984,98.6
10652,7208,2904,528,984,98.6
10652,7204,2908,528,984,98.6
10660,7208,2904,536,984,98.6
10652,7204,2904,528,984,98.6
10656,7208,2904,532,980,98.6
10660,7216,2896,536,984,98.6
10660,7204,2904,536,984,98.6
10656,7208,2904,532,980,98.6
10660,7212,2900,540,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10656,7208,2904,532,984,98.6
10652,7208,2904,532,980,98.6
10652,7204,2908,528,984,98.6
10656,7208,2904,532,984,98.6
10652,7208,2904,528,984,98.6
10652,7208,2904,528,984,98.6
10656,7208,2904,532,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10656,7208,2904,532,976,98.6
10652,7204,2900,536,984,98.6
10656,7208,2900,536,984,98.6
10652,7208,2904,532,980,98.6
10660,7208,2900,536,984,98.6
10652,7204,2908,528,984,98.6
10660,7204,2908,536,976,98.6
10652,7204,2908,528,984,98.6
10656,7208,2908,532,984,98.6
10656,7212,2896,540,980,98.6
10660,7212,2900,536,984,98.6
10652,7204,2900,536,984,98.6
10660,7216,2896,540,980,98.6
10660,7208,2904,536,984,98.6
10652,7208,2904,532,976,98.6
10656,7208,2904,532,984,98.6
10660,7204,2908,536,984,98.6
10660,7208,2904,536,984,98.6
10652,7204,2904,532,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,980,98.6
10652,7204,2908,532,984,98.6
10660,7208,2904,540,980,98.6
10660,7204,2908,536,984,98.6
10656,7208,2904,532,984,98.6
10652,7204,2904,532,984,98.6
10652,7204,2908,528,984,98.6
10656,7208,2900,540,980,98.6
10660,7208,2904,536,984,98.6
10656,7208,2904,532,980,98.6
10656,7208,2900,540,984,98.6
10656,7208,2900,536,984,98.6
10660,7208,2904,536,984,98.6
10652,7204,2904,532,984,98.6
10660,7208,2904,536,976,98.6
10656,7208,2904,532,980,98.6
10652,7208,2904,528,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,540,980,98.6
10660,7208,2904,536,984,98.6
10652,7208,2904,532,980,98.6
10656,7208,2904,532,984,98.6
10660,7204,2904,540,980,98.6
10660,7208,2904,536,984,98.6
10660,7204,2908,536,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10656,7208,2900,536,984,98.6
10660,7208,2904,536,984,98.6
10656,7208,2904,532,984,98.6
10656,7208,2904,532,984,98.6
10656,7208,2904,532,984,98.6
10656,7208,2904,532,980,98.6
10656,7208,2904,532,984,98.6
10652,7204,2904,532,984,98.6
10652,7204,2900,536,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,540,980,98.6
10656,7208,2904,532,984,98.6
10656,7208,2904,532,984,98.6
10652,7208,2904,528,984,98.6
10652,7204,2904,528,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10656,7208,2904,532,984,98.6
10660,7204,2904,540,980,98.6
10660,7204,2908,536,984,98.6
10660,7208,2904,536,984,98.6
10656,7208,2904,532,984,98.6
10652,7204,2908,532,984,98.6
10660,7204,2908,536,984,98.6
10656,7208,2904,532,980,98.6
10652,7208,2904,532,980,98.6
10660,7208,2904,540,980,98.6
10652,7208,2896,540,980,98.6
10660,7208,2904,536,984,98.6
10660,7208,2904,536,984,98.6
10652,7204,2904,528,984,98.6
10652,7208,2904,528,984,98.6
