infer_us,l0_us,l1_us,l2_us,sm_us,confidence,free_ram,peak_stack
25712,14476,10344,892,6296,97.7,0,47
25712,14476,10344,892,6412,97.7,0,97
25712,14476,10344,892,6392,97.7,0,97
25712,14476,10344,892,6396,97.7,0,97
25712,14476,10344,892,6392,97.7,0,97
25712,14476,10344,892,6404,97.7,0,97
25716,14476,10348,892,6396,97.7,0,97
25712,14476,10344,892,6400,97.7,0,97
25712,14476,10344,892,6400,97.7,0,97
25712,14476,10344,892,6400,97.7,1130,97
25720,14484,10344,892,6396,97.7,1130,97
25720,14476,10348,896,6396,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25716,14480,10344,892,6396,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25712,14476,10344,892,6404,97.7,1130,97
25716,14476,10348,892,6396,97.7,1130,97
25712,14476,10344,892,6404,97.7,1130,97
25712,14476,10344,892,6396,97.7,1130,97
25716,14476,10348,892,6396,97.7,1130,97
25712,14472,10348,892,6396,97.7,1130,97
25712,14472,10348,892,6396,97.7,1130,97
25716,14480,10344,892,6392,97.7,1130,97
25716,14476,10348,892,6396,97.7,1130,97
25720,14484,10344,892,6396,97.7,1130,97
25720,14476,10348,896,6396,97.7,1130,97
25712,14476,10344,892,6396,97.7,1130,97
25716,14476,10348,892,6396,97.7,1130,97
25712,14476,10344,892,6396,97.7,1130,97
25720,14480,10348,892,6396,97.7,1130,97
25716,14480,10344,892,6392,97.7,1130,97
25712,14476,10344,892,6396,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25712,14476,10352,884,6400,97.7,1130,97
25712,14476,10344,892,6396,97.7,1130,97
25712,14472,10348,892,6396,97.7,1130,97
25720,14484,10344,892,6396,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25712,14476,10344,892,6404,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25716,14476,10348,892,6396,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25720,14480,10348,892,6396,97.7,1130,97
25720,14484,10344,892,6396,97.7,1130,97
25716,14476,10352,888,6400,97.7,1130,97
25712,14476,10344,892,6400,97.7,1130,97
25712,14476,10344,892,6396,97.7,1130,97
25712,14484,10344,884,6400,97.7,1130,97
25716,14476,10348,892,6396,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25712,14476,10344,892,6396,97.7,1130,97
25712,14472,10348,892,6396,97.7,1130,97
25716,14480,10344,892,6396,97.7,1130,97
25712,14472,10348,892,6396,97.7,1130,97
25716,14480,10344,892,6392,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25712,14476,10352,884,6400,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25716,14480,10348,888,6404,97.7,1130,97
25716,14476,10348,892,6400,97.7,1130,97
25712,14476,10344,892,6396,97.7,1130,97
25712,14472,10348,892,6396,97.7,1130,97
25716,14480,10344,892,6392,97.7,1130,97
25712,14472,10352,888,6400,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25712,14472,10348,892,6396,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25712,14476,10344,892,6400,97.7,1130,97
25712,14472,10348,892,6396,97.7,1130,97
25716,14480,10344,892,6392,97.7,1130,97
25720,14476,10348,896,6396,97.7,1130,97
25720,14480,10348,892,6396,97.7,1130,97
25712,14472,10348,892,6396,97.7,1130,97
25720,14476,10348,896,6396,97.7,1130,97
25716,14480,10344,892,6392,97.7,1130,97
25716,14476,10348,892,6396,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25712,14472,10348,892,6396,97.7,1130,97
25716,14476,10352,888,6404,97.7,1130,97
25712,14476,10344,892,6396,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25712,14476,10344,892,6400,97.7,1130,97
25712,14472,10348,892,6396,97.7,1130,97
25720,14484,10344,892,6396,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25720,14484,10344,892,6396,97.7,1130,97
25712,14476,10344,892,6404,97.7,1130,97
25712,14476,10344,892,6396,97.7,1130,97
25712,14476,10344,892,6396,97.7,1130,97
25712,14476,10344,892,6400,97.7,1130,97
25712,14472,10348,892,6396,97.7,1130,97
25720,14480,10348,892,6396,97.7,1130,97
25716,14476,10348,892,6396,97.7,1130,97
25712,14476,10344,892,6392,97.7,1130,97
25712,14476,10344,892,6396,97.7,1130,97
