infer_us,l0_us,l1_us,l2_us,sm_us,confidence,free_ram,peak_stack
4876,3632,892,352,1752,100.0,0,47
4876,3628,892,356,1756,100.0,0,93
4880,3636,892,352,1752,100.0,0,95
4880,3628,892,360,1748,100.0,0,96
4880,3636,884,360,1748,100.0,0,97
4880,3632,888,360,1748,100.0,0,97
4872,3628,892,352,1752,100.0,0,97
4876,3632,892,352,1752,100.0,0,97
4880,3628,892,360,1748,100.0,0,97
4880,3636,892,352,1752,100.0,0,97
4876,3632,892,352,1752,100.0,0,97
4880,3628,892,360,1748,100.0,0,97
4876,3632,892,352,1752,100.0,0,97
4880,3636,892,352,1752,100.0,0,97
4880,3628,892,360,1748,100.0,0,97
4880,3636,892,352,1756,100.0,0,97
4880,3628,892,360,1748,100.0,1370,97
4876,3632,892,352,1752,100.0,1370,97
4884,3636,896,352,1756,100.0,1370,97
4884,3636,888,360,1756,100.0,1370,97
4888,3636,896,356,1756,100.0,1370,97
4876,3632,892,352,1752,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4880,3636,892,352,1752,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4872,3628,892,352,1748,100.0,1370,97
4880,3628,892,360,1748,100.0,1370,97
4880,3628,892,360,1748,100.0,1370,97
4888,3632,896,360,1748,100.0,1370,97
4872,3628,892,352,1752,100.0,1370,97
4884,3628,896,360,1748,100.0,1370,97
4880,3636,892,352,1752,100.0,1370,97
4876,3632,892,352,1752,100.0,1370,97
4872,3628,892,352,1756,100.0,1370,97
4872,3628,892,352,1756,100.0,1370,97
4872,3628,892,352,1756,100.0,1370,97
4880,3628,892,360,1748,100.0,1370,97
4880,3628,892,360,1748,100.0,1370,97
4880,3628,892,360,1748,100.0,1370,97
4888,3636,896,356,1756,100.0,1370,97
4880,3628,892,360,1748,100.0,1370,97
4880,3628,892,360,1748,100.0,1370,97
4876,3628,892,356,1748,100.0,1370,97
4876,3632,892,352,1752,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4876,3632,888,356,1752,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4876,3628,892,356,1748,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4880,3628,892,360,1748,100.0,1370,97
4872,3628,892,352,1756,100.0,1370,97
4876,3632,892,352,1752,100.0,1370,97
4876,3628,892,356,1748,100.0,1370,97
4872,3628,892,352,1756,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4880,3628,892,360,1748,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4872,3628,892,352,1752,100.0,1370,97
4884,3636,888,360,1756,100.0,1370,97
4872,3628,892,352,1756,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4876,3628,892,356,1748,100.0,1370,97
4872,3628,892,352,1752,100.0,1370,97
4876,3632,892,352,1752,100.0,1370,97
4872,3628,892,352,1756,100.0,1370,97
4876,3632,892,352,1752,100.0,1370,97
4888,3636,896,356,1756,100.0,1370,97
4872,3628,892,352,1752,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4880,3632,892,356,1756,100.0,1370,97
4884,3632,896,356,1756,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4876,3632,892,352,1752,100.0,1370,97
4872,3628,892,352,1752,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4880,3636,892,352,1752,100.0,1370,97
4872,3628,892,352,1752,100.0,1370,97
4872,3628,892,352,1752,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4880,3632,892,356,1756,100.0,1370,97
4880,3636,884,360,1748,100.0,1370,97
4872,3628,892,352,1752,100.0,1370,97
4880,3632,892,356,1752,100.0,1370,97
4880,3636,888,356,1752,100.0,1370,97
4884,3632,896,356,1756,100.0,1370,97
4880,3632,888,360,1756,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4880,3636,884,360,1748,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4872,3628,892,352,1756,100.0,1370,97
4880,3632,892,356,1756,100.0,1370,97
4880,3628,892,360,1748,100.0,1370,97
4872,3628,892,352,1752,100.0,1370,97
4872,3628,892,352,1752,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4876,3632,892,352,1752,100.0,1370,97
4876,3632,892,352,1752,100.0,1370,97
4880,3628,892,360,1748,100.0,1370,97
4884,3632,896,356,1756,100.0,1370,97
4876,3628,892,356,1756,100.0,1370,97
4872,3628,892,352,1756,100.0,1370,97
4876,3632,892,352,1752,100.0,1370,97
4876,3632,892,352,1756,100.0,1370,97
4888,3636,896,356,1756,100.0,1370,97
4876,3632,892,352,1752,100.0,1370,97
4880,3632,892,356,1752,100.0,1370,97
4880,3628,892,360,1748,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4880,3632,888,360,1756,100.0,1370,97
4876,3628,892,356,1756,100.0,1370,97
4888,3636,896,356,1756,100.0,1370,97
4880,3632,896,352,1756,100.0,1370,97
4876,3632,892,352,1752,100.0,1370,97
4880,3628,892,360,1744,100.0,1370,97
4876,3632,892,352,1752,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4872,3628,892,352,1752,100.0,1370,97
4876,3632,892,352,1752,100.0,1370,97
4880,3636,892,352,1752,100.0,1370,97
4876,3628,892,356,1748,100.0,1370,97
4880,3636,892,352,1756,100.0,1370,97
4880,3628,892,360,1748,100.0,1370,97
4872,3628,892,352,1756,100.0,1370,97
4872,3636,884,352,1756,100.0,1370,97
4872,3628,892,352,1752,100.0,1370,97
4880,3632,888,360,1756,100.0,1370,97
4876,3628,892,356,1748,100.0,1370,97
