infer_us,l0_us,l1_us,l2_us,sm_us,confidence,free_ram,peak_stack
50584,39072,9904,1608,2704,7.4,0,51
50588,39072,9908,1608,2700,6.9,0,101
50592,39072,9908,1612,2708,6.9,0,101
50584,39072,9900,1612,2712,6.9,0,101
50584,39072,9904,1608,2716,6.9,0,101
50584,39072,9908,1604,2712,6.9,0,101
50584,39072,9900,1612,2716,6.9,1190,101
50592,39072,9904,1616,2708,6.9,1190,101
50584,39072,9900,1612,2712,6.9,1190,101
50592,39072,9908,1612,2708,6.9,1190,101
50584,39068,9908,1608,2716,6.9,1190,101
50596,39072,9908,1616,2708,6.9,1190,101
50584,39072,9900,1612,2716,6.9,1190,101
50588,39072,9908,1608,2712,6.9,1190,101
50592,39072,9908,1612,2708,6.9,1190,101
50584,39072,9904,1608,2716,6.9,1190,101
50588,39072,9908,1608,2716,6.9,1190,101
50592,39080,9900,1612,2708,6.9,1190,101
50584,39072,9904,1608,2716,6.9,1190,101
50588,39068,9908,1612,2708,6.9,1190,101
50592,39080,9900,1612,2708,6.9,1190,101
50584,39072,9900,1612,2716,6.9,1190,101
50584,39072,9908,1604,2712,6.9,1190,101
50588,39076,9900,1612,2708,6.9,1190,101
50584,39072,9900,1612,2716,6.9,1190,101
50584,39072,9904,1608,2716,6.9,1190,101
50592,39072,9908,1612,2708,6.9,1190,101
50584,39072,9900,1612,2712,6.9,1190,101
50584,39072,9904,1608,2716,6.9,1190,101
50588,39072,9904,1612,2708,6.9,1190,101
50584,39072,9900,1612,2712,6.9,1190,101
50584,39072,9904,1608,2716,6.9,1190,101
50592,39072,9908,1612,2708,6.9,1190,101
50588,39076,9900,1612,2708,6.9,1190,101
50596,39072,9908,1616,2708,6.9,1190,101
50584,39068,9908,1608,2716,6.9,1190,101
50596,39072,9908,1616,2708,6.9,1190,101
50588,39076,9900,1612,2708,6.9,1190,101
50588,39076,9900,1612,2712,6.9,1190,101
50584,39068,9908,1608,2716,6.9,1190,101
50596,39072,9908,1616,2708,6.9,1190,101
50588,39072,9904,1612,2716,6.9,1190,101
50584,39072,9904,1608,2716,6.9,1190,101
50584,39072,9900,1612,2716,6.9,1190,101
50584,39072,9904,1608,2716,6.9,1190,101
50592,39080,9900,1612,2716,6.9,1190,101
50584,39072,9900,1612,2716,6.9,1190,101
50584,39072,9900,1612,2712,6.9,1190,101
50584,39072,9908,1604,2712,6.9,1190,101
50588,39076,9900,1612,2708,6.9,1190,101
50584,39072,9900,1612,2712,6.9,1190,101
50588,39072,9908,1608,2716,6.9,1190,101
50588,39072,9904,1612,2708,6.9,1190,101
50588,39076,9900,1612,2708,6.9,1190,101
50584,39072,9908,1604,2712,6.9,1190,101
50588,39072,9904,1612,2708,6.9,1190,101
50588,39076,9900,1612,2708,6.9,1190,101
50584,39072,9904,1608,2716,6.9,1190,101
50584,39072,9900,1612,2712,6.9,1190,101
50584,39072,9908,1604,2712,6.9,1190,101
50588,39072,9904,1612,2708,6.9,1190,101
50584,39072,9904,1608,2716,6.9,1190,101
50592,39072,9908,1612,2704,6.9,1190,101
50584,39072,9904,1608,2716,6.9,1190,101
50592,39072,9908,1612,2708,6.9,1190,101
50584,39072,9900,1612,2716,6.9,1190,101
50584,39072,9908,1604,2712,6.9,1190,101
50584,39072,9908,1604,2712,6.9,1190,101
50588,39068,9904,1616,2712,6.9,1190,101
50584,39068,9908,1608,2716,6.9,1190,101
50584,39072,9908,1604,2708,6.9,1190,101
50592,39080,9900,1612,2708,6.9,1190,101
50584,39072,9908,1604,2712,6.9,1190,101
50588,39076,9900,1612,2708,6.9,1190,101
50584,39072,9904,1608,2716,6.9,1190,101
50592,39080,9900,1612,2708,6.9,1190,101
50584,39072,9900,1612,2712,6.9,1190,101
50584,39072,9900,1612,2712,6.9,1190,101
50588,39072,9908,1608,2712,6.9,1190,101
50596,39076,9904,1616,2708,6.9,1190,101
50584,39072,9908,1604,2712,6.9,1190,101
50584,39068,9908,1608,2716,6.9,1190,101
50588,39068,9908,1612,2708,6.9,1190,101
50584,39068,9908,1608,2716,6.9,1190,101
50592,39080,9900,1612,2708,6.9,1190,101
50588,39072,9908,1608,2716,6.9,1190,101
50592,39072,9908,1612,2708,6.9,1190,101
50584,39068,9908,1608,2712,6.9,1190,101
50584,39072,9904,1608,2716,6.9,1190,101
50588,39072,9904,1612,2708,6.9,1190,101
50588,39076,9900,1612,2708,6.9,1190,101
50584,39072,9908,1604,2712,6.9,1190,101
50584,39072,9908,1604,2712,6.9,1190,101
50592,39072,9908,1612,2708,6.9,1190,101
50584,39072,9900,1612,2716,6.9,1190,101
50584,39072,9908,1604,2712,6.9,1190,101
50588,39072,9904,1612,2708,6.9,1190,101
50588,39072,9904,1612,2708,6.9,1190,101
50588,39072,9908,1608,2712,6.9,1190,101
50584,39072,9904,1608,2716,6.9,1190,101
50584,39072,9908,1604,2712,6.9,1190,101
50592,39080,9900,1612,2716,6.9,1190,101
