infer_us,l0_us,l1_us,l2_us,sm_us,confidence,free_ram,peak_stack
10660,7208,2900,536,984,98.6,0,65328
10656,7208,2904,532,980,98.6,0,65272
10652,7204,2908,528,984,98.6,0,65328
10660,7204,2908,540,980,98.6,0,65284
10656,7208,2900,536,984,98.6,0,65304
10652,7204,2908,528,984,98.6,0,65280
10656,7208,2904,532,984,98.6,0,65280
10660,7208,2904,536,984,98.6,0,65300
10656,7208,2904,532,984,98.6,0,65320
10656,7204,2904,532,976,98.6,1009,65260
10652,7208,2904,528,984,98.6,1009,65284
10660,7208,2904,536,984,98.6,1009,65316
10652,7204,2904,528,984,98.6,1009,65284
10656,7208,2904,532,980,98.6,1009,65292
10652,7204,2900,536,984,98.6,1009,65308
10660,7208,2904,536,976,98.6,1009,65320
10656,7208,2904,532,984,98.6,1009,65348
10660,7208,2904,536,984,98.6,1009,65288
10656,7208,2904,532,984,98.6,1009,65300
10652,7204,2904,532,984,98.6,1009,65320
10660,7208,2904,536,984,98.6,1009,65292
10652,7204,2908,528,984,98.6,1009,65824
10660,7208,2904,536,984,98.6,1009,65772
10656,7208,2900,536,984,98.6,1009,65808
10652,7208,2896,540,984,98.6,1009,65840
10660,7208,2904,532,980,98.6,1009,65776
10660,7204,2908,540,980,98.6,1009,65780
10656,7208,2904,532,980,98.6,1009,65808
10652,7208,2904,528,984,98.6,1009,65796
10652,7204,2904,532,984,98.6,1009,65824
10660,7212,2900,536,984,98.6,1009,65820
10652,7208,2904,532,984,98.6,1009,65792
10660,7204,2908,540,980,98.6,1009,65836
10656,7208,2904,532,984,98.6,1009,65804
10652,7204,2908,532,984,98.6,1009,65796
10660,7204,2908,540,980,98.6,1009,65812
10660,7208,2904,536,984,98.6,1009,65764
10652,7204,2900,536,984,98.6,1009,65776
10652,7204,2908,532,984,98.6,1009,65792
10652,7204,2900,536,984,98.6,1009,65776
10652,7208,2904,528,984,98.6,1009,65796
10652,7208,2904,532,980,98.6,1009,65752
10652,7204,2908,532,984,98.6,1009,65332
10660,7204,2908,536,984,98.6,1009,65268
10652,7204,2908,532,984,98.6,1009,65304
10656,7208,2900,536,984,98.6,1009,65292
10660,7204,2908,536,976,98.6,1009,65308
10656,7208,2904,532,984,98.6,1009,65288
10660,7208,2904,536,984,98.6,1009,65292
10656,7208,2904,532,980,98.6,1009,65292
10660,7208,2904,536,984,98.6,1009,65288
10656,7208,2900,540,980,98.6,1009,65296
10660,7204,2908,536,984,98.6,1009,65276
10652,7208,2904,532,980,98.6,1009,65816
10660,7208,2904,536,984,98.6,1009,65800
10660,7216,2896,540,984,98.6,1009,65792
10652,7208,2904,528,984,98.6,1009,65804
10656,7208,2904,532,984,98.6,1009,65796
10652,7204,2904,532,984,98.6,1009,65816
10660,7204,2908,540,980,98.6,1009,65784
10660,7204,2908,540,980,98.6,1009,65824
10660,7204,2908,540,980,98.6,1009,65804
10660,7208,2904,536,984,98.6,1009,65772
10656,7208,2904,532,984,98.6,1009,65800
10652,7204,2908,528,984,98.6,1009,65804
10660,7204,2908,536,984,98.6,1009,65788
